year;programa;subprograma;proyecto;actividad;grupo;subgrupo;renglon;departamento;municipio;fuenteag;ejecucioncuanti;ejecucioncuali
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;4;407;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;4;408;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;4;409;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;4;410;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;4;411;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;4;412;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;4;413;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;4;414;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;4;415;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;4;416;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;5;501;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;5;502;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;5;503;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;5;504;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;5;505;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;5;506;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;5;507;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;5;508;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;5;509;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;5;510;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;5;511;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;5;512;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;5;513;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;5;514;10;-1;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;6;601;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;6;602;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;6;603;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;6;604;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;6;605;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;6;606;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;6;607;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;6;608;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;6;609;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;6;610;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;6;611;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;6;612;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;6;613;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;6;614;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;7;701;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;7;702;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;7;703;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;7;704;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;7;705;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;7;706;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;7;707;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;7;708;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;7;709;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;7;710;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;7;711;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;7;712;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;7;713;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;7;714;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;7;715;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;7;716;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;7;717;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;7;718;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;7;719;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;8;801;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;8;802;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;8;803;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;8;804;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;8;805;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;8;806;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;8;807;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;8;808;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;9;901;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;9;902;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;9;903;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;9;904;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;9;905;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;9;906;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;9;907;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;9;908;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;9;909;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;9;910;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;9;911;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;9;912;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;9;913;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;9;914;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;9;915;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;9;916;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;9;917;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;9;918;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;9;919;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;9;920;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;9;921;10;0.814814815;baja
